date,ticker,price
2024-01-01,AAPL,148.12962783859626
2024-01-02,AAPL,148.339079537795
2024-01-03,AAPL,147.0710537815101
2024-01-04,AAPL,146.02950108429633
2024-01-05,AAPL,144.97789160637996
2024-01-06,AAPL,144.85922230565524
2024-01-07,AAPL,143.67497032975697
2024-01-08,AAPL,144.77046820837916
2024-01-09,AAPL,146.7920052589983
2024-01-10,AAPL,147.37249605424418
2024-01-11,AAPL,144.1075704450826
2024-01-12,AAPL,145.83760691435737
2024-01-13,AAPL,146.0678726475699
2024-01-14,AAPL,145.48533304185875
2024-01-15,AAPL,146.28107162596422
2024-01-16,AAPL,145.34023516783327
2024-01-17,AAPL,145.5236888756413
2024-01-18,AAPL,144.2911074595229
2024-01-19,AAPL,144.13515836448232
2024-01-20,AAPL,143.11439091645985
